class,property,object property,property group,preview property,preview object property
owl:Ontology,rdfs:label,,labels,rdfs:label,
owl:Ontology,dct:title,,labels,rdfs:label,
owl:Ontology,rdfs:comment,,notes,rdfs:label,
owl:Ontology,dct:description,,notes,rdfs:label,
owl:Ontology,owl:versionInfo,,evolution properties,rdfs:label,
owl:Ontology,owl:versionIRI,,evolution properties,rdfs:label,
owl:Ontology,owl:priorVersion,,evolution properties,rdfs:label,
owl:Ontology,owl:incompatibleWith,,evolution properties,rdfs:label,
owl:Ontology,dct:created,,evolution properties,rdfs:label,
owl:Ontology,dct:issued,,evolution properties,rdfs:label,
owl:Ontology,owl:imports,,miscellaneous,rdfs:label,
owl:Ontology,rdfs:seeAlso,,miscellaneous,rdfs:label,
owl:Ontology,dct:license,,miscellaneous,rdfs:label,
owl:Ontology,dct:publisher,,miscellaneous,rdfs:label,
owl:Ontology,vann:preferredNamespacePrefix,,miscellaneous,rdfs:label,
owl:Ontology,vann:preferredNamespaceUri,,miscellaneous,rdfs:label,
owl:Class,rdfs:label,,labels,rdfs:label,
owl:Class,skos:prefLabel,,labels,skos:prefLabel,
owl:Class,skos:altLabel,,labels,skos:prefLabel,
owl:Class,skos:hiddenLabel,,labels,skos:prefLabel,
owl:Class,rdfs:comment,,notes,rdfs:label,
owl:Class,dct:description,,notes,rdfs:label,
owl:Class,skos:definition,,notes,skos:prefLabel,
owl:Class,skos:example,,notes,skos:prefLabel,
owl:Class,skos:note,,notes,skos:prefLabel,
owl:Class,skos:scopeNote,,notes,skos:prefLabel,
owl:Class,skos:changeNote,,notes,skos:prefLabel,
owl:Class,skos:historyNote,,notes,skos:prefLabel,
owl:Class,skos:editorialNote,,notes,skos:prefLabel,
owl:Class,rdfs:subClassOf,,semantic properties,rdfs:label,
owl:Class,rdfs:isDefinedBy,,semantic properties,rdfs:label,
owl:ObjectProperty,rdfs:label,,labels,rdfs:label,
owl:ObjectProperty,skos:prefLabel,,labels,skos:prefLabel,
owl:ObjectProperty,skos:altLabel,,labels,skos:prefLabel,
owl:ObjectProperty,skos:hiddenLabel,,labels,skos:prefLabel,
owl:ObjectProperty,rdfs:comment,,notes,rdfs:label,
owl:ObjectProperty,dct:description,,notes,rdfs:label,
owl:ObjectProperty,skos:definition,,notes,skos:prefLabel,
owl:ObjectProperty,skos:example,,notes,skos:prefLabel,
owl:ObjectProperty,skos:note,,notes,skos:prefLabel,
owl:ObjectProperty,skos:scopeNote,,notes,skos:prefLabel,
owl:ObjectProperty,skos:changeNote,,notes,skos:prefLabel,
owl:ObjectProperty,skos:historyNote,,notes,skos:prefLabel,
owl:ObjectProperty,skos:editorialNote,,notes,skos:prefLabel,
owl:ObjectProperty,rdfs:subPropertyOf,,semantic properties,rdfs:label,
owl:ObjectProperty,rdfs:isDefinedBy,,semantic properties,rdfs:label,
owl:ObjectProperty,rdfs:domain,,semantic properties,rdfs:label,
owl:ObjectProperty,rdfs:range,,semantic properties,rdfs:label,
owl:DatatypeProperty,rdfs:label,,labels,rdfs:label,
owl:DatatypeProperty,skos:prefLabel,,labels,skos:prefLabel,
owl:DatatypeProperty,skos:altLabel,,labels,skos:prefLabel,
owl:DatatypeProperty,skos:hiddenLabel,,labels,skos:prefLabel,
owl:DatatypeProperty,rdfs:comment,,notes,rdfs:label,
owl:DatatypeProperty,dct:description,,notes,rdfs:label,
owl:DatatypeProperty,skos:definition,,notes,skos:prefLabel,
owl:DatatypeProperty,skos:example,,notes,skos:prefLabel,
owl:DatatypeProperty,skos:note,,notes,skos:prefLabel,
owl:DatatypeProperty,skos:scopeNote,,notes,skos:prefLabel,
owl:DatatypeProperty,skos:changeNote,,notes,skos:prefLabel,
owl:DatatypeProperty,skos:historyNote,,notes,skos:prefLabel,
owl:DatatypeProperty,skos:editorialNote,,notes,skos:prefLabel,
owl:DatatypeProperty,rdfs:subPropertyOf,,semantic properties,rdfs:label,
owl:DatatypeProperty,rdfs:isDefinedBy,,semantic properties,rdfs:label,
owl:DatatypeProperty,rdfs:domain,,semantic properties,rdfs:label,
owl:DatatypeProperty,rdfs:range,,semantic properties,rdfs:label,
