class,property,object property,modifiable,language dependent
skos:Concept,skos:prefLabel,,1,1
skos:Concept,skos:altLabel,,,1
skos:Concept,skos:hiddenLabel,,,1
skos:Concept,skos:notation,,,
skos:Concept,skos:note,,,1
skos:Concept,skos:changeNote,,,1
skos:Concept,skos:definition,,,1
skos:Concept,skos:editorialNote,,,
skos:Concept,skos:example,,,1
skos:Concept,skos:historyNote,,,1
skos:Concept,skos:scopeNote,,,1
skos:Concept,skos:semanticRelation,,,
skos:Concept,skos:broader,,,
skos:Concept,skos:narrower,,,
skos:Concept,skos:related,,,
skos:Concept,skos:broaderTransitive,,,
skos:Concept,skos:narrowerTransitive,,,
skos:Concept,skos:mappingRelation,,,
skos:Concept,skos:closeMatch,,,
skos:Concept,skos:exactMatch,,,
skos:Concept,skos:broadMatch,,,
skos:Concept,skos:narrowMatch,,,
skos:Concept,skos:relatedMatch,,,
skos:Concept,skos:inScheme,,,
skos:Concept,skos:topConceptOf,,,
skos:Collection,skos:prefLabel,,1,1
skos:OrderedCollection,skos:prefLabel,,1,1
skos:ConceptScheme,skos:prefLabel,,1,1
