class,property,object property,modifiable,language dependent
skos:Concept,skosxl:prefLabel,skosxl:literalForm,1,1
skos:Concept,skosxl:prefLabel,owl:deprecated,1,
skos:Concept,skosxl:prefLabel,dct:type,1,
skos:Concept,skosxl:prefLabel,euvoc:startDate,1,
skos:Concept,skosxl:prefLabel,euvoc:endDate,1,
skos:Concept,skosxl:altLabel,skosxl:literalForm,1,1
skos:Concept,skosxl:altLabel,owl:deprecated,1,
skos:Concept,skosxl:altLabel,dct:type,1,
skos:Concept,skosxl:altLabel,euvoc:startDate,1,
skos:Concept,skosxl:altLabel,euvoc:endDate,1,
skos:Concept,skosxl:hiddenLabel,skosxl:literalForm,1,1
skos:Concept,skosxl:hiddenLabel,owl:deprecated,1,
skos:Concept,skosxl:hiddenLabel,dct:type,1,
skos:Concept,skosxl:hiddenLabel,euvoc:startDate,1,
skos:Concept,skosxl:hiddenLabel,euvoc:endDate,1,
skos:Concept,skos:notation,rdf:value,1,
skos:Concept,skos:notation,owl:deprecated,1,
skos:Concept,skos:notation,dct:type,1,
skos:Concept,skos:note,rdf:value,1,1
skos:Concept,skos:note,owl:deprecated,1,
skos:Concept,skos:note,dct:type,1,
skos:Concept,skos:note,dct:source,1,
skos:Concept,skos:changeNote,rdf:value,1,1
skos:Concept,skos:changeNote,owl:deprecated,1,
skos:Concept,skos:changeNote,dct:type,1,
skos:Concept,skos:changeNote,dct:source,1,
skos:Concept,skos:definition,rdf:value,1,1
skos:Concept,skos:definition,owl:deprecated,1,
skos:Concept,skos:definition,dct:type,1,
skos:Concept,skos:definition,dct:source,1,
skos:Concept,skos:editorialNote,rdf:value,1,
skos:Concept,skos:editorialNote,owl:deprecated,1,
skos:Concept,skos:editorialNote,dct:type,1,
skos:Concept,skos:editorialNote,dct:source,1,
skos:Concept,skos:example,rdf:value,1,1
skos:Concept,skos:example,owl:deprecated,1,
skos:Concept,skos:example,dct:type,1,
skos:Concept,skos:example,dct:source,1,
skos:Concept,skos:historyNote,rdf:value,1,1
skos:Concept,skos:historyNote,owl:deprecated,1,
skos:Concept,skos:historyNote,dct:type,1,
skos:Concept,skos:historyNote,dct:source,1,
skos:Concept,skos:scopeNote,rdf:value,1,1
skos:Concept,skos:scopeNote,owl:deprecated,1,
skos:Concept,skos:scopeNote,dct:type,1,
skos:Concept,skos:scopeNote,dct:source,1,
skos:Concept,skos:semanticRelation,,,
skos:Concept,skos:broader,,,
skos:Concept,skos:narrower,,,
skos:Concept,skos:related,,,
skos:Concept,skos:broaderTransitive,,,
skos:Concept,skos:narrowerTransitive,,,
skos:Concept,skos:mappingRelation,,,
skos:Concept,skos:closeMatch,,,
skos:Concept,skos:exactMatch,,,
skos:Concept,skos:broadMatch,,,
skos:Concept,skos:narrowMatch,,,
skos:Concept,skos:relatedMatch,,,
skos:Concept,skos:inScheme,,,
skos:Concept,skos:topConceptOf,,,
skos:Concept,dct:replaces,,,
skos:Concept,euvoc:endDate,,1,
skos:Concept,euvoc:startDate,,1,
skos:Concept,owl:deprecated,,1,
skos:Concept,owl:versionInfo,,1,
skos:Collection,skosxl:prefLabel,skosxl:literalForm,1,1
skos:OrderedCollection,skosxl:prefLabel,skosxl:literalForm,1,1
skos:ConceptScheme,skosxl:prefLabel,skosxl:literalForm,1,1
skos:ConceptScheme,euvoc:domain,,1,
skos:ConceptScheme,dct:identifier,,1,
skos:ConceptScheme,skosxl:prefLabel,skosxl:literalForm,1,1
skos:ConceptScheme,skosxl:prefLabel,owl:deprecated,1,
skos:ConceptScheme,skosxl:prefLabel,dct:type,1,
skos:ConceptScheme,owl:versionInfo,,1,
skos:ConceptScheme,dct:identifier,,1,
skos:ConceptScheme,euvoc:domain,,1,
skos:ConceptScheme,dct:isPartOf,,,
skos:ConceptScheme,dct:created,,1,
skos:ConceptScheme,dct:modified,,1,
